new_code,parent,leaf,description,color_note,excluded_reason
EXP-8.2,PRADERA,Pradera Rotacion Corta,"Short rotation grass establishment | Semillas RC, servicio agricola siembra, preparacion suelo | Costs for pasture renewal: seed, spray, cultivation, drilling, and related contracting. Excludes fuel and vehicle costs.",,
EXP-8.3,PRADERA,Repoblamiento,"Pasture re-seeding | Semillas, servicio agricola siembra, preparacion suelo | Costs for pasture renewal: seed, spray, cultivation, drilling, and related contracting. Excludes fuel and vehicle costs.",,
EXP-8.4,PRADERA,Otros Cultivos,"other crops | rutabaga, raps (semilla, serv agricola siembra, preparacion suelo | Costs for pasture renewal: seed, spray, cultivation, drilling, and related contracting. Excludes fuel and vehicle costs.",,
EXP-9.1,RIEGO,Energia Electrica Riego,"Electricity for irrigations systems | indicar proveedor y servicio | Electricity, fuel, and water rates for irrigation equipment.",,
EXP-9.2,RIEGO,Otros Gastos Riego,"manteinance, spare parts, | repuestos cooprinsem, mantencion riego cooprinsem | Electricity, fuel, and water rates for irrigation equipment.",,
EXP-10.1,LECHERIA,Mantencion Sala,"Shed inspections and mateinance, rubberware | mantenciones GEA, serlac estanques, filtros | un proveedor puede estar en diferentes categorias",,
EXP-10.2,LECHERIA,Diping,Teat dipping products and teat disinfectants used in the dairy shed.,,
EXP-10.3,LECHERIA,Detergentes e higenizantes,"Detergents, sanitizers, cleaners, and hygiene chemicals for the dairy shed.",,
EXP-10.4,LECHERIA,Otros Gastos Lecheria,other shed expenses,,
EXP-11.1,COMBUSTIBLE Y ENERGIA,Electricidad Lecheria,"Shed electricity | indicar proveedores y servicios | Fuels and electric Power. Excludes irrigation electricity, which is listed separately. | No incluye servicios Riego",,
EXP-11.2,COMBUSTIBLE Y ENERGIA,Electricidad Casas e Instalaciones,"Electricty for Houses & other buildings | indicar proveedores y servicios | Fuels and electric Power. Excludes irrigation electricity, which is listed separately. | No incluye servicios Riego",,
EXP-11.3,COMBUSTIBLE Y ENERGIA,Petroleo,"Diesel | Fuels and electric Power. Excludes irrigation electricity, which is listed separately. | No incluye servicios Riego",,
EXP-11.4,COMBUSTIBLE Y ENERGIA,Bencina,"Gasoline | bencina uso campos directo, no vehiculos admin | Fuels and electric Power. Excludes irrigation electricity, which is listed separately. | No incluye servicios Riego",,
EXP-11.5,COMBUSTIBLE Y ENERGIA,Gas,"Natural Gas | Fuels and electric Power. Excludes irrigation electricity, which is listed separately. | No incluye servicios Riego",,
EXP-12.1,LABORATORIO,Analisis Suelo y forraje,Soil and feed testing | ejemplos cooprinsem,,
EXP-12.2,LABORATORIO,Analisis Animales,"animal testing | colun, coopri. Control lechero, muestras sangre, etc",,
EXP-13.1,MAQUINARIA Y VEHICULOS,Mantencion Maquinaria,"Machine repairs & maintenance, oil, grease | (lubricantes, neumaticos, mantenciones etc, permisos)",,
EXP-13.2,MAQUINARIA Y VEHICULOS,Mantencion Motos,motorcycle & quads maintenance,,
EXP-13.3,MAQUINARIA Y VEHICULOS,Mantencion Vehiculos,"vehicule and trucks maintenance | (rev tecnica, permisos, mantenciones, neumaticos) | NO TODO TIENE XML",,
EXP-14.1,REPARACIONES Y MANTENCIONES,Mantencion Caminos,"roads and runs maintenance. Includes material, contractors | arriendo maquinaria, fletes material, servicios geopartner, pinilla | un servicio puede estar en diferentes categorias | R&M covers all the ongoing costs to keep land, buildings, plant, and equipment in good working order, ensuring the farm runs smoothly and assets are maintained for the long term.",,
EXP-14.2,REPARACIONES Y MANTENCIONES,Mantencion Cercos,"fence maintenance | herramientas, alambre, aisladores, estacas, manillas, carretes, servicios | R&M covers all the ongoing costs to keep land, buildings, plant, and equipment in good working order, ensuring the farm runs smoothly and assets are maintained for the long term.",,
EXP-14.3,REPARACIONES Y MANTENCIONES,Mantencion Agua y Purines,"water supply & manure network maintenance. Pumps | mangueras, fittings, robinson hott servicios | R&M covers all the ongoing costs to keep land, buildings, plant, and equipment in good working order, ensuring the farm runs smoothly and assets are maintained for the long term.",,
EXP-14.4,REPARACIONES Y MANTENCIONES,Mantencion Instalaciones,"Houses & other buildings maintenance. | casas, galpones, ternerera. Materiales y servicios | R&M covers all the ongoing costs to keep land, buildings, plant, and equipment in good working order, ensuring the farm runs smoothly and assets are maintained for the long term.",,
EXP-15.1,SERVICIOS,Servicios Agronomicos,agronomic consultancy | Aichele,,
EXP-15.2,SERVICIOS,Servicios Veterinarios,veterinary consultancy | Lecherias del sur y otros vet,,
EXP-15.3,SERVICIOS,Fletes,"animal freights, Freight not assigned to other categories | traslado animales, fletes compras y otros (no traslados maicillo caminos)",,
EXP-15.4,SERVICIOS,Arriendo Maquinaria y Vehiculos,"machine and vehicules leases | myo, arriendo tractor, arriendo retro pelleco",,
EXP-15.5,SERVICIOS,Servicios Agricolas,"contractos not assigned to other categories | Fertilizaciones, purines, fumigaciones. NO siembras, NO preparacion de Suelos, NO ensilajes",,
EXP-16.1,GASTOS GENERALES CAMPO,Ropa y Herramientas de Trabajo,"protective work clothing and equipment, biosecurity supplies | Apro, botas, overoles, pecheras, guantes, EPP",,
EXP-16.2,GASTOS GENERALES CAMPO,Otros Gastos Campo,"other general farm expenses. rubbish disposal and recycling | agua, paja, aserrin, bioseguridad, reciclaje y residuos",,
ADM-1.2,ADMINISTRACION,Comunicaciones e Internet,"internet and communications | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",,
ADM-1.3,ADMINISTRACION,Arriendo Oficina,"Office lease | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",,
ADM-1.4,ADMINISTRACION,Movilizacion,"administration mobilization. Plane tickets, gas | (bencinas adm, peajes, arriendo auto) | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",,
ADM-1.5,ADMINISTRACION,Colacion y Alojamiento,"administration food expenses, and acommodation expenses | (almuerzos, café, etc) administracion | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",,
ADM-1.6,ADMINISTRACION,Utiles y gastos de oficina.,"Office Supplies and Expenses | (aseo, impresión, coputacion, etc). Utiles de aseo | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",,
ADM-1.7,ADMINISTRACION,Otros Gastos Administracion,"Other Administration Expenses | (envios, encomienda, notaria, donaciones, cuotas gremiales | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",,
ADM-1.8,ADMINISTRACION,Asesoria Contable,"Accounting Advisory | audytax, audysoft | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",,
ADM-1.9,ADMINISTRACION,Asesoria Legal,"Legal Advisory | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",,
ADM-1.10,ADMINISTRACION,Otros Servicios y Asesorias,"Other Services and Advisory | Software chipax, fieldata, carlos gallardo | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",,
ADM-2.1,SEGUROS,Seguros Vehiculos,"Vehicle Insurance | Insurance for farm assets, public liability, milk loss, and livestock. Excludes private dwelling insurance.",,
ADM-2.2,SEGUROS,Seguros Trabajadores,"Workers Insurance | Insurance for farm assets, public liability, milk loss, and livestock. Excludes private dwelling insurance.",,
ADM-2.3,SEGUROS,Seguros Otros,"Other Insurance (shed, buildings) | Insurance for farm assets, public liability, milk loss, and livestock. Excludes private dwelling insurance.",,
