input_id,item,was_code,now_code,proof,amount
COMPRAS|66554732|224165|11,PL-TERMINAL HE 1 PLANSA -@,EXP-7.0,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",2688
COMPRAS|66554732|224165|8,PL-TERMINAL HE 1 PLANSA -@,EXP-7.0,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",336
COMPRAS|66554732|224404|2,GG-NIPPLE HE-HE GALV 1 -@,EXP-7.0,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",3228
COMPRAS|66554732|226826|1,PAN PERNO ANCLAJE -HILTI-1 2-X4 1 4 -@,EXP-4.1,EXP-14.4,"a nut, anchor bolt or screw is not feed, pasture or silage",11600
COMPRAS|66554732|230097|4,FU-TERMINAL HI 1 2 X 20MM METALICO PEGAR PPR -@,EXP-2.4,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",1836
COMPRAS|66554732|234383|1,PL-TEE 1 2 PLANSA -@,EXP-7.0,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",3860
COMPRAS|66554732|235712|11,GG-COPLA HI-HI GALV 2 -@,EXP-7.0,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",3073
COMPRAS|66554732|237437|6,LIJA MADERA GRANO 36 -@,EXP-2.1,EXP-14.4,sandpaper is not a drying-off therapy,522
COMPRAS|66554732|237437|7,LIJA MADERA GRANO 80 -@,EXP-2.1,EXP-14.4,sandpaper is not a drying-off therapy,426
COMPRAS|66554732|244615|11,FU-TERMINAL HI 1 2 X 20MM METALICO PEGAR PPR -@,EXP-2.4,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",1896
COMPRAS|66554732|244615|5,PL-TEE 1 PLANSA -@,EXP-7.0,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",948
COMPRAS|66554732|244615|6,PL-TERMINAL HI 1 PLANSA -@,EXP-7.0,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",773
COMPRAS|66554732|245897|2,ABRAZADERA CON PERNO 60MM-63MM -@,EXP-1.1,EXP-14.4,"a bolted clamp is hardware, not a staff cost",13340
COMPRAS|66554732|245898|1,ABRAZADERA CON PERNO 36MM-39MM -@,EXP-1.1,EXP-14.4,"a bolted clamp is hardware, not a staff cost",10140
COMPRAS|66554732|246300|3,GG-NIPPLE HE-HE GALV 1 1 2 -@,EXP-7.0,EXP-14.3,"a threaded pipe fitting is not mineral salts, an agrochemical or feed",2030
COMPRAS|760681407|287026|3,CLAVO DE 4 OFERTA,EXP-2.1,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",6689
COMPRAS|760703753|18886|1,CORREA ENTREGA LATERAL RF,EXP-6.3,EXP-13.1,a machine drive belt is not lime,381309
COMPRAS|760703753|18887|1,CORREA ENTREGA LATERAL RF,EXP-6.3,EXP-13.1,a machine drive belt is not lime,381309
COMPRAS|765686601|35365028|2,ACEITE CADENA BIODEGRADABLE STIHL1000 CC,EXP-2.2,EXP-16.2,chainsaw chain oil; the product lookup files chainsaw items here,10990
COMPRAS|765686601|35434874|4,CODO 90 20MM PRESION VNT,EXP-7.0,EXP-14.3,"a bushing, siphon or elbow is not a mineral salt or an agrochemical",680
COMPRAS|765686601|35650296|1,TERMINAL SO HE 1,EXP-7.0,EXP-14.3,"a bare pipe fitting is not mineral salts, an agrochemical or mastitis medicine",11980
COMPRAS|765686601|36126198|1,CLAVO CTE GAL 4X 8 2.5KG,EXP-2.4,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",12380
COMPRAS|765686601|36126198|2,CLAVO GALVANIZADO 2. 1/2 X1/2 KG,EXP-2.4,EXP-14.4,"nails, cement, angle bracket and sandpaper are not mineral salts",4980
COMPRAS|765686601|36126198|3,CLAVO GALVANIZADO 2 X 1/2 KG,EXP-2.4,EXP-14.4,"nails, cement, angle bracket and sandpaper are not mineral salts",2490
COMPRAS|766379990|17764|7,TUERCA ESPECIAL BOMBA ROVATTI,EXP-8.2,EXP-14.4,"a nut, anchor bolt or screw is not feed, pasture or silage",4750
COMPRAS|770711002|1179837|11,LIJA FIERRO NEXO # 100,EXP-2.4,EXP-14.4,"nails, cement, angle bracket and sandpaper are not mineral salts",794
COMPRAS|770711002|1206272|12,CEMENTO 25 KG,EXP-2.4,EXP-14.4,"nails, cement, angle bracket and sandpaper are not mineral salts",50614
COMPRAS|770738512|1507305|1,BYOD shop prorated subscription,EXP-1.1,ADM-1.2,a Starlink subscription line is internet service,26435
COMPRAS|770738512|2180202|1,BYOD shop prorated subscription,EXP-1.1,ADM-1.2,a Starlink subscription line is internet service,2922
COMPRAS|777413627|573|9,Bushing Nylon 15mm x 8mm (negro) Hansen,EXP-2.4,EXP-14.3,"a bushing, siphon or elbow is not a mineral salt or an agrochemical",2551
COMPRAS|783342502|367823|1,%FILTRO COMBUSTIBLE (6),EXP-2.2,EXP-13.1,an engine filter is not mastitis medicine or animal health,16000
COMPRAS|783342502|367823|2,%FILTRO COMBUSTIBLE (6),EXP-2.2,EXP-13.1,an engine filter is not mastitis medicine or animal health,18000
COMPRAS|783342502|367823|5,%FILTRO AIRE 1 (1),EXP-7.0,EXP-13.1,an air filter is not an agrochemical,42000
COMPRAS|783342502|367823|7,FILTRO ACEITE HIDRAULICO.(1),EXP-2.6,EXP-13.1,an engine filter is not mastitis medicine or animal health,103000
COMPRAS|786566800|356665|2,LAVAPARABRISAS COPEC,EXP-1.1,EXP-13.3,windscreen washer fluid is a vehicle consumable,3025
COMPRAS|786566800|360584|2,LAVAPARABRISAS COPEC,EXP-1.1,EXP-13.3,windscreen washer fluid is a vehicle consumable,3025
COMPRAS|804616004|276277|5,ESCUADRA FIERRO NEGRO 200*150 MM.,EXP-2.4,EXP-14.4,"nails, cement, angle bracket and sandpaper are not mineral salts",15462
COMPRAS|810941006|29936574|4,VISION CLARA MANZANA SONAX 250ML,EXP-1.1,EXP-13.3,windscreen washer fluid is a vehicle consumable,3991
COMPRAS|810941006|29936592|1,VISION CLARA MANZANA SONAX 250ML,EXP-1.1,EXP-13.3,windscreen washer fluid is a vehicle consumable,3991
COMPRAS|864906001|656983|7,"VALVULA DE BOLA PVC-HILO S/UNION 32MM = 1""",EXP-4.2,EXP-14.3,a ball valve is not mineral salts or a silage bale,3027
COMPRAS|864906001|656983|8,"VALVULA DE BOLA PVC-HILO S/UNION 40MM = 1,1/4""",EXP-4.2,EXP-14.3,a ball valve is not mineral salts or a silage bale,4862
COMPRAS|864906001|656983|9,"VALVULA DE BOLA PVC-HILO S/UNION 63MM = 2""",EXP-4.2,EXP-14.3,a ball valve is not mineral salts or a silage bale,9506
COMPRAS|864906001|664372|12,"VALVULA COMPTA.ITAL.C/HILO 2""",EXP-2.4,EXP-14.3,a ball valve is not mineral salts or a silage bale,287873
COMPRAS|864906001|671493|4,"SIFON LAVATORIO REGIO C/CODO STD 1,1/4X32 HOFFENS",EXP-2.4,EXP-14.3,"a bushing, siphon or elbow is not a mineral salt or an agrochemical",2148
COMPRAS|864906001|674117|14,"VALVULA DE BOLA PVC-HILO S/UNION 50MM = 1,1/2""",EXP-4.2,EXP-14.3,a ball valve is not mineral salts or a silage bale,14524
COMPRAS|864906001|675915|5,"VALVULA DE BOLA PVC-HILO S/UNION 50MM = 1,1/2""",EXP-4.2,EXP-14.3,a ball valve is not mineral salts or a silage bale,6223
COMPRAS|864906001|679057|8,"VALVULA DE BOLA PVC-HILO S/UNION 32MM = 1""",EXP-4.2,EXP-14.3,a ball valve is not mineral salts or a silage bale,9420
COMPRAS|864906001|679057|9,"VALVULA COMPTA.ITAL.C/HILO 2""",EXP-2.4,EXP-14.3,a ball valve is not mineral salts or a silage bale,17630
COMPRAS|864906001|680218|1,"VALVULA DE BOLA PVC-HILO S/UNION 32MM = 1""",EXP-4.2,EXP-14.3,a ball valve is not mineral salts or a silage bale,4710
COMPRAS|928740005|2446080|9,"CLAVO 3""X10 BOLSA 1KG",EXP-2.4,EXP-14.4,"nails, cement, angle bracket and sandpaper are not mineral salts",6080
COMPRAS|967895202|1501748|1,"ESTERON TEN TEN -ANASAC_9,46LT___",EXP-2.4,EXP-7.0,"Esteron is a herbicide, not a mineral salt",189848
COMPRAS|967895202|1527082|1,"ESTERON TEN TEN -ANASAC_9,46LT___",EXP-2.4,EXP-7.0,"Esteron is a herbicide, not a mineral salt",927880
COMPRAS|967895202|1527082|2,"ESTERON TEN TEN -ANASAC_9,46LT___",EXP-2.4,EXP-7.0,"Esteron is a herbicide, not a mineral salt",927880
COMPRAS|967895202|1527082|3,"ESTERON TEN TEN -ANASAC_9,46LT___",EXP-2.4,EXP-7.0,"Esteron is a herbicide, not a mineral salt",185576
COMPRAS|96792430K|139457205|3,CLAVO CTE.6 X5 BOL 2.5 KG. CUN,EXP-2.4,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",18129
COMPRAS|96792430K|139464801|1,"CLAVO CTE 4 2,5KG CUN029",EXP-2.4,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",13143
COMPRAS|96792430K|139559243|1,"CLAVO CTE 4 2,5KG CUN029",EXP-2.4,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",6571
COMPRAS|96792430K|140692680|2,CLAVO CTE.6 X5 BOL 2.5 KG. CUN,EXP-2.4,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",7977
COMPRAS|96792430K|140692680|3,"CLAVO CTE 3 2,5KG CUN02CC",EXP-10.3,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",2976
COMPRAS|96792430K|140692680|4,"CLAVO CTE 4 2,5KG CUN02CC",EXP-10.3,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",2892
COMPRAS|96792430K|142407029|12,CLAVO CTE 4 BOLSA 1KG CUN06C,EXP-2.4,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",1214
COMPRAS|96792430K|142407029|15,CLAVO CTE 4 BOLSA 1KG CUN06C,EXP-2.4,EXP-14.4,"a nail is not mineral salts, drying-off therapy or a sanitiser",1214
