gold_id,old_category_code,new_category_code,leaf,source,item_text,description,provider,disposition,authority,audit_reason
SA-00416,EXP-2.6,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,GUANTE LARGO NITRILO XL SHOOF 204630,GUANTE LARGO NITRILO XL MARCA SHOOF,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,Row-level client product labels override category-folder placement; Shoof nitrile gloves are EPP.
SA-00417,EXP-2.6,EXP-16.2,Otros Gastos Campo,file_audit,DESODORANTE PINOS - CEREZA,DESODORANTE PINOS - CEREZA,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,"Client product family places PINOS deodorizer variants under other operational expenses, not animal health."
SA-00418,EXP-2.6,EXP-2.6,Otros Gastos Salud Animal,file_audit,HISTOCREM 450 GR.,HISTOCREM 450 GR.,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00420,EXP-2.1,EXP-2.1,Terapias Secado,file_audit,FATROXIMIN X 12 JER,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00421,EXP-2.1,EXP-2.1,Terapias Secado,file_audit,UBRISEC X 48 JER,UBRISEC X 48 JER,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00422,EXP-2.2,EXP-2.5,Otros Medicamentos,file_audit,PENCIVET X CAJA -____,____,FEROSOR AGRICOLA S.A.,correct,client_product_family_resolution,Exact client PENCIVET product examples override the mastitis-folder placement.
SA-00423,EXP-2.2,EXP-2.4,Sales Minerales,file_audit,DIGESTIVO BILIFAR 120 GRS. -____,____,FEROSOR AGRICOLA S.A.,correct,client_product_family_resolution,Exact client BILIFAR product examples override the mastitis-folder placement.
SA-00424,EXP-2.2,EXP-2.2,Medicamentos Mastitis,file_audit,MASTIPLAN X 20 JERINGAS -____,____,FEROSOR AGRICOLA S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00425,EXP-2.2,,,file_audit,PINTURA SPRAY FIL ROJO -_ROJO___,_ROJO___,FEROSOR AGRICOLA S.A.,quarantine,locked_399_row_manual_review,Folder label conflicts with the item; replacement category is not established by stronger row-level evidence.
SA-00426,EXP-2.2,,,file_audit,PINTURA SPRAY FIL VERDE -_VERDE___,_VERDE___,FEROSOR AGRICOLA S.A.,quarantine,locked_399_row_manual_review,Folder label conflicts with the item; replacement category is not established by stronger row-level evidence.
SA-00427,EXP-2.2,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,GUANTES SHOOF LARGO (L) NITRI.AZUL CAJA 100 UN -____,____,FEROSOR AGRICOLA S.A.,correct,client_product_family_resolution,Row-level client Shoof glove family labels override the mastitis-folder placement.
SA-00428,EXP-2.5,EXP-2.5,Otros Medicamentos,file_audit,MAGNEKAL 100 CC -____,____,FEROSOR AGRICOLA S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00432,EXP-2.5,EXP-2.6,Otros Gastos Salud Animal,file_audit,AGUJAS DESECHABLES # 18 X 1 1/2!,AGUJA DESECHABLE DE CALIBRE 18G POR 1 1/2 PULGADAS DE LARGO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,"Client row-level needle rules classify disposable needles as animal-health supplies, not medicine."
SA-00433,EXP-2.5,EXP-2.6,Otros Gastos Salud Animal,file_audit,JERINGA DESECHABLE 20CC-C/AGUJA(L.L.),JERINGA DESECHABLE 20 CC CON AGUJA,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,"Client row-level syringe rules classify disposable syringes as animal-health supplies, not medicine."
SA-00434,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,BOTA BEKINA STEPLITEX SOLIDGRIP N 37,BOTA BEKINA STEPLITEX SOLIDGRIP N 37,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00435,EXP-16.1,EXP-16.1,Ropa y Herramientas de Trabajo,file_audit,BOTA BEKINA STEPLITEX SOLIDGRIP N 38,BOTA BEKINA STEPLITEX SOLIDGRIP N 38,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00436,EXP-2.5,EXP-2.5,Otros Medicamentos,file_audit,YODOCAP X 1 L,YODOCAP X 1 L,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00437,EXP-16.2,EXP-16.2,Otros Gastos Campo,file_audit,TERMOMETRO PARA LECHE,TERMOMETRO PARA LECHE,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00438,EXP-16.2,EXP-16.2,Otros Gastos Campo,file_audit,JARRA MEDIDORA 500 ML (SHOOF),JARRA MEDIDORA 500 ML,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00439,EXP-2.5,EXP-2.6,Otros Gastos Salud Animal,file_audit,AGUJA DESECHABLE 16 X 1/2,AGUJA DESECHABLE DE CALIBRE 16G POR 1/2 PULGADA DE LARGO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,"Client row-level needle rules classify disposable needles as animal-health supplies, not medicine."
SA-00440,EXP-2.5,EXP-2.6,Otros Gastos Salud Animal,file_audit,JERINGA DESECHABLE 10CC C/AGUJA (L.L.),JERINGA DESECHABLE 10 CC CON AGUJA,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,correct,client_product_family_resolution,"Client row-level syringe rules classify disposable syringes as animal-health supplies, not medicine."
SA-00441,EXP-2.3,EXP-2.3,Vacunas,file_audit,VACUNA CLOSTRIBAC 8 GOLD X 50 DS,,COOPERATIVA AGRICOLA LECHERA STGO.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00442,EXP-2.3,EXP-2.3,Vacunas,file_audit,VACUNA CATTLEMASTER GOLD X 25 DS.,,COOPERATIVA AGRICOLA LECHERA STGO.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00443,EXP-15.3,EXP-15.3,Fletes,file_audit,Fletes - ANTILLANCA SPA,,ANTILLANCA SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00444,EXP-15.3,EXP-15.3,Fletes,file_audit,Fletes - SOCIEDAD DE TRANSPORTES MANCILLA NEUMANN LIMITADA,,SOCIEDAD DE TRANSPORTES MANCILLA NEUMANN LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00445,EXP-15.3,EXP-15.3,Fletes,file_audit,Fletes - SERVICIOS FABIAN ROLDAN SPA,,SERVICIOS FABIAN ROLDAN SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00446,EXP-15.4,EXP-15.4,Arriendo Maquinaria y Vehiculos,file_audit,Arriendo Maquinaria y Vehiculos - FACTURA ELECTRÓNICA GEO PARTNER SPA,,FACTURA ELECTRÓNICA GEO PARTNER SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00447,EXP-15.4,EXP-15.4,Arriendo Maquinaria y Vehiculos,file_audit,Arriendo Maquinaria y Vehiculos - HAKA INDUSTRIAL SPA,,HAKA INDUSTRIAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00448,EXP-15.4,EXP-15.4,Arriendo Maquinaria y Vehiculos,file_audit,Arriendo Maquinaria y Vehiculos - ANTILLANCA SPA,,ANTILLANCA SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00449,EXP-15.5,EXP-15.5,Servicios Agricolas,file_audit,RIEGO PURINES YUTRECO,RIEGO purines 11.03.2026 42 carradas de 11.000 lts lluvia y problema motobomba. Total 739.200 se aplica descuento por servicio anterior monto 224.100 total 515.100,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00450,EXP-15.5,EXP-15.5,Servicios Agricolas,file_audit,RIEGO PURINES RAICES,Purines raices 29 carradas de 11.000 lts,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00451,EXP-10.2,EXP-10.2,Diping,file_audit,COW GUARD BARRERA 210KG,,BIOGENESIS ANIMAL HEALTH SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00452,EXP-10.3,EXP-10.3,Detergentes e higenizantes,file_audit,ORACID 60 L,,HGS DAIRY SOLUTIONS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00454,EXP-10.1,EXP-10.1,Mantencion Sala,file_audit,CHAPALETA BOMBA DE LECHE 1.1/1.5,,HGS DAIRY SOLUTIONS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00455,EXP-10.3,EXP-10.3,Detergentes e higenizantes,file_audit,TRI-PFAN 200 LTS,,HGS DAIRY SOLUTIONS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00456,EXP-10.3,EXP-10.3,Detergentes e higenizantes,file_audit,ZINICIN 70 KGS.,,HGS DAIRY SOLUTIONS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00457,EXP-10.1,EXP-10.1,Mantencion Sala,file_audit,FILTRO LECHE JUMBO 100 UND 150 X 800 MM,,HGS DAIRY SOLUTIONS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00458,EXP-10.4,EXP-10.4,Otros Gastos Lecheria,file_audit,PARTE INFERIOR COLECTOR USADA,,GEA Farm Technologies Osorno Ltda.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00461,EXP-10.4,EXP-10.4,Otros Gastos Lecheria,file_audit,JUEGO PEZONERAS MONOBLOCK,,GEA Farm Technologies Osorno Ltda.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00463,EXP-10.4,EXP-10.1,Mantencion Sala,file_audit,FILTRO LECHE 75 MM * 800 SE - 200 UN,,GEA Farm Technologies Osorno Ltda.,correct,manual_taxonomy_resolution,Milk filters are explicitly listed in the client definition of dairy-room maintenance and match audited milk-filter siblings.
SA-00465,EXP-10.4,EXP-10.4,Otros Gastos Lecheria,file_audit,JUEGO PEZONERAS COLECTOR 300,,GEA Farm Technologies Osorno Ltda.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00466,EXP-10.4,EXP-10.4,Otros Gastos Lecheria,file_audit,TAPA COLECTOR 300 CC. SIN CIERRE,,GEA Farm Technologies Osorno Ltda.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00469,EXP-10.3,EXP-10.3,Detergentes e higenizantes,file_audit,TRI-PFAN 200 LTS,,GEA Farm Technologies Osorno Ltda.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00470,EXP-10.3,EXP-10.3,Detergentes e higenizantes,file_audit,ORACID 60 L,,GEA Farm Technologies Osorno Ltda.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00471,EXP-10.1,EXP-10.1,Mantencion Sala,file_audit,FILTRO LECHE JUMBO 100 UND 150 X 800 MM,,GEA Farm Technologies Osorno Ltda.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00472,EXP-10.3,EXP-10.1,Mantencion Sala,file_audit,PIOLA PERLON RETIRADOR (NEGRA)/ MT,,GEA Farm Technologies Osorno Ltda.,correct,manual_taxonomy_resolution,"A remover cord is milking equipment/maintenance, not a detergent or hygiene chemical."
SA-00473,EXP-10.1,EXP-10.1,Mantencion Sala,file_audit,KIT SERV 4500 H VALVULA RETENCION BBA LECHE 1.5 KW,,HGS DAIRY SOLUTIONS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00474,EXP-10.1,EXP-10.1,Mantencion Sala,file_audit,VASO METATRON CPL,,HGS DAIRY SOLUTIONS SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00475,EXP-10.1,EXP-10.1,Mantencion Sala,file_audit,EMERGENCIA EQUIPOS DE REFRIGERACION,,SOCIEDAD COMERCIAL SERLAC CHILE S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00476,EXP-10.1,EXP-10.1,Mantencion Sala,file_audit,MOVILIZACION DE EQUIPOS DE REFRIGERACION,,SOCIEDAD COMERCIAL SERLAC CHILE S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00477,EXP-10.1,EXP-10.1,Mantencion Sala,file_audit,REPARACION DE EQUIPOS DE REFRIGERACION EN TALLER 2,,SOCIEDAD COMERCIAL SERLAC CHILE S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00478,EXP-5.1,EXP-5.1,Concentrado Vacas,file_audit,MAIZ ROLEADO PF GRANEL x KG-ALIMENTOS(E)-MAIZ,,COMPAA AGROPECUARIA COPEVAL S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00479,EXP-5.1,EXP-5.1,Concentrado Vacas,file_audit,BIOLACT ANTILLANCA GRANEL,,AGROCOMERCIAL IANSA S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00480,EXP-5.3,EXP-5.3,Concentrado Otros Animales,file_audit,COLMILLO BLANCO X 20KG (ADULTO&amp;CACHORRO),COLMILLO BLANCO X 20KG (ADULTO&amp;CACHORRO),COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00481,EXP-5.3,EXP-2.6,Otros Gastos Salud Animal,file_audit,TOALLA PAPEL INTERFOLIADA,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,correct,client_product_family_resolution,Client row-level paper-towel product rule overrides the unrelated feed-category invoice folder.
SA-00482,EXP-5.3,EXP-5.3,Concentrado Otros Animales,file_audit,MAIZ HOJUELA COLUN X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00483,EXP-5.3,EXP-5.3,Concentrado Otros Animales,file_audit,PERRO FIT FORMULA ADULTO X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00484,EXP-5.2,EXP-5.2,Concentrado Crianza,file_audit,CONCENTRADO TERNERO 1 STANDARD -Ferosor_25kg_Sin Sal_PBF_,Ferosor_25kg_Sin Sal_PBF_,FEROSOR AGRICOLA S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00485,EXP-5.2,EXP-5.2,Concentrado Crianza,file_audit,T. SURALIM CRECIMIENTO RF X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00487,EXP-5.2,EXP-5.2,Concentrado Crianza,file_audit,T. SURALIM INICIAL RF X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00488,EXP-5.2,EXP-5.2,Concentrado Crianza,file_audit,CONCENTRADO TERNERO INICIAL SUPER -Ferosor_25kg_Sin Sal_PBF_,Ferosor_25kg_Sin Sal_PBF_,FEROSOR AGRICOLA S.A.,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00489,EXP-5.2,EXP-5.2,Concentrado Crianza,file_audit,T. COLUN CRECIMIENTO X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00490,EXP-12.2,EXP-12.2,Analisis Animales,file_audit,AGUA PABCO 1,,FACTURA ELECTRONICA COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00491,EXP-12.2,EXP-12.2,Analisis Animales,file_audit,COMBO BRC-LEU-PTBC,,FACTURA ELECTRONICA COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00492,EXP-12.1,EXP-12.1,Analisis Suelo y forraje,file_audit,Analisis Suelo y forraje - ANTILLANCA SPA,,ANTILLANCA SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00493,EXP-12.1,EXP-12.1,Analisis Suelo y forraje,file_audit,Analisis Suelo y forraje - ROCK RIVER LABORATORY LIMITADA,,ROCK RIVER LABORATORY LIMITADA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00494,EXP-8.3,EXP-8.1,Pradera Perenne,file_audit,SEMILLA BALLICA DAIRY PRIME DES X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,correct,manual_taxonomy_resolution,The same Dairy Prime perennial ryegrass family appears repeatedly as EXP-8.1; folder placement alone had assigned reseeding.
SA-00495,EXP-8.1,EXP-8.1,Pradera Perenne,file_audit,SEMILLA TREBOL BLANCO RURU X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00496,EXP-8.1,EXP-8.1,Pradera Perenne,file_audit,SEMILLA TREBOL BLANCO KOTUKU X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00497,EXP-8.2,EXP-8.2,Pradera Rotacion Corta,file_audit,SEMILLA BALLICA FORGE AGR X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00498,EXP-8.1,EXP-8.1,Pradera Perenne,file_audit,SEMILLA BALLICA COLUN 4X5 X,,COOPERATIVA AGRÍCOLA Y LECHERA DE LA UNIÓN LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00499,EXP-8.4,EXP-8.4,Otros Cultivos,file_audit,SEM.RAPS FORR.SPITFIRE DES. CTE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00500,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,BOLOS SILO YUTRECO,Bolos silo 50 bolos en 18 ha potreros 3.2.39.25: 3 bolos x Ha,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00501,EXP-4.2,EXP-15.5,Servicios Agricolas,file_audit,Aplicacin de lodo,,HECTOR ADRIAN VALENZUELA PAREDES,correct,manual_taxonomy_resolution,"Sludge application is an agricultural application service, not purchase/transport of silage bales."
SA-00503,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,Conf.. bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00504,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,Diferencia bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00505,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,BOLOS PELLECO EMPASTADA,Bolos sector pelleco 73 bolos silo,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00506,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,BOLOS CHAPILCAHUIN,"Bolos silo chapilcahuin frente bolos en arriendo 16 bolos 2 bolos por ha total 7 ha, cobro por ha 16 reales 42 ficticios.",SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00507,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,BOLOS SILO RAICES F2,Bolos silo f2 22 bolos en 6 ha total,SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
SA-00508,EXP-4.2,EXP-4.2,Bolos Silo,file_audit,CONFECCION BOLOS,"111 bolos en 26ha 4 bolos por ha, faltantes 104. : 111x 18.500: 2.053.500 mas 104x 12.000 1.248.000 Total 3.301.500 : 126.981 x ha",SERVICIOS AGRICOLAS CORPAL SPA,keep,locked_399_row_manual_review,Kept after review of the locked 399-row folder inventory; row semantics are consistent and no stronger contradictory evidence was found.
