gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag,direction,direction_evidence,raw_row_id
MA-03040,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE JUNIO DE 2025",NETSKY SPA,,Item explicitly says internet service and includes the recurring billing month.,,COMPRAS,raw_xml_source,3040
MA-03043,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo mayo 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,3043
MA-03077,ADM-1.8,Asesoria Contable,manual_raw_starving_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Mayo de 2025,AUDISOFT SPA,,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,,COMPRAS,raw_xml_source,3077
MA-03078,ADM-1.8,Asesoria Contable,manual_raw_starving_audit,LICENCIA AUDISOFT,Audisoft Basico Periodo Mayo de 2025,AUDISOFT SPA,,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,,COMPRAS,raw_xml_source,3078
MA-03321,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura mayo 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,3321
MA-03409,EXP-6.3,Cal,manual_raw_starving_audit,CAL SUR IANSA ENV. MAXISACO 1000 KG,,IANSAGRO S.A.,,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,,COMPRAS,raw_xml_source,3409
MA-03899,ADM-1.5,Colacion y Alojamiento,manual_raw_starving_audit,ALMUERZOS,COMPROBANTE DEBITO N° 012728,MINERVA RUTH ARELLANO VASQUEZ,,Item explicitly identifies an administration meal.,,COMPRAS,raw_xml_source,3899
MA-03937,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE JULIO DE 2025",NETSKY SPA,,Item explicitly says internet service and includes the recurring billing month.,,COMPRAS,raw_xml_source,3937
MA-03939,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo junio 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,3939
MA-03952,ADM-1.8,Asesoria Contable,manual_raw_starving_audit,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Junio de 2025,AUDISOFT SPA,,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,,COMPRAS,raw_xml_source,3952
MA-03953,ADM-1.8,Asesoria Contable,manual_raw_starving_audit,LICENCIA AUDISOFT,Audisoft Basico Periodo Junio de 2025,AUDISOFT SPA,,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,,COMPRAS,raw_xml_source,3953
MA-04162,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura junio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,4162
MA-04615,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE AGOSTO DE 2025",NETSKY SPA,,Item explicitly says internet service and includes the recurring billing month.,,COMPRAS,raw_xml_source,4615
MA-04618,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo julio 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,4618
MA-05131,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura julio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,5131
MA-05275,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Programación Premiums,,DIRECTV Chile TelevisiÃ³n Limitada,,DIRECTV programming/decoder charges explicitly identify a communications service.,,COMPRAS,raw_xml_source,5275
MA-05297,EXP-5.5,Sustituto Lacteo,manual_raw_starving_audit,SUST. EUROLAC BLUE 25 KGS. SCHILS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,,EUROLAC is a client-confirmed milk replacer; raw provider form is a new valid input.,,COMPRAS,raw_xml_source,5297
MA-05869,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE SEPTIEMBRE DE 2025",NETSKY SPA,,Item explicitly says internet service and includes the recurring billing month.,,COMPRAS,raw_xml_source,5869
MA-05873,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo agosto 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,5873
MA-06127,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura agosto 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,6127
MA-06760,ADM-1.5,Colacion y Alojamiento,manual_raw_starving_audit,ALOJAMIENTO,,THAMYKI SPA,,Item explicitly identifies hotel lodging or a lodging ancillary charge.,,COMPRAS,raw_xml_source,6760
MA-06767,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo Septiembre 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,6767
MA-07197,ADM-1.4,Movilizacion,manual_raw_starving_audit,DETALLE,GASOLINA NU 1203| 31.646|L,COPEC S.A.,,Description explicitly identifies gasoline and litres; client examples place administration gasoline in mobilization.,,COMPRAS,raw_xml_source,7197
MA-07328,EXP-6.3,Cal,manual_raw_starving_audit,CAL IM MINERALS FUNDO,CAL AGRICOLA,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,,COMPRAS,raw_xml_source,7328
MA-07587,ADM-1.5,Colacion y Alojamiento,manual_raw_starving_audit,Almuerzo,,LAS ACHIRAS SPA,,Item explicitly identifies an administration meal.,,COMPRAS,raw_xml_source,7587
MA-07600,EXP-6.3,Cal,manual_raw_starving_audit,FUNDO CHAPICAHUIN,APLICACION CAL 242 TON,SERVICIOS AGRICOLAS CORPAL SPA,,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,,COMPRAS,raw_xml_source,7600
MA-07601,EXP-6.3,Cal,manual_raw_starving_audit,FUNDO RAICES,APLICACION CAL 42 TON,SERVICIOS AGRICOLAS CORPAL SPA,,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,,COMPRAS,raw_xml_source,7601
MA-07604,EXP-6.3,Cal,manual_raw_starving_audit,FUNDO CHAPICAHUIN,APLICACION CAL 218 TON,SERVICIOS AGRICOLAS CORPAL SPA,,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,,COMPRAS,raw_xml_source,7604
MA-07609,EXP-6.3,Cal,manual_raw_starving_audit,APLICACION CAL EN PRADERA,APLICACION DE CAL EN PRADERA PELLECO Y CHAPILCAHUIN TOTAL 64 TON,SERVICIOS AGRICOLAS CORPAL SPA,,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,,COMPRAS,raw_xml_source,7609
MA-07666,ADM-1.2,Comunicaciones e Internet,manual_raw_starving_audit,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE OCTUBRE DE 2025",NETSKY SPA,,Item explicitly says internet service and includes the recurring billing month.,,COMPRAS,raw_xml_source,7666
MA-07803,ADM-1.5,Colacion y Alojamiento,manual_raw_starving_audit,Alojamiento / Rooms ( 1),,Hoteles Director Ltda.,,Item explicitly identifies hotel lodging or a lodging ancillary charge.,,COMPRAS,raw_xml_source,7803
MA-07805,ADM-1.5,Colacion y Alojamiento,manual_raw_starving_audit,Frigobar / Minibar ( 1),,Hoteles Director Ltda.,,Item explicitly identifies hotel lodging or a lodging ancillary charge.,,COMPRAS,raw_xml_source,7805
MA-08369,EXP-4.1,Parva Silo,manual_raw_starving_audit,SILOSOLVE MC X 100 G,SILOSOLVE MC X 100 G,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,"SILOSOLVE is explicitly a silage additive, consistent with the client category definition.",,COMPRAS,raw_xml_source,8369
MA-08620,ADM-1.5,Colacion y Alojamiento,manual_raw_starving_audit,Cena,,MARIA JOSE GARCIA DE CECA LATUZ,,Item explicitly identifies an administration meal.,,COMPRAS,raw_xml_source,8620
MA-08622,ADM-1.5,Colacion y Alojamiento,manual_raw_starving_audit,almuerzo de empresa,,CUADRIL SPA,,Item explicitly identifies an administration meal.,,COMPRAS,raw_xml_source,8622
MA-08641,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo Noviembre 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,8641
MA-08951,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura noviembre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,8951
MA-09198,ADM-1.4,Movilizacion,manual_raw_starving_audit,DETALLE,GASOLINA NU 1203| 29.764|L,COPEC S.A.,,Description explicitly identifies gasoline and litres; client examples place administration gasoline in mobilization.,,COMPRAS,raw_xml_source,9198
MA-09311,EXP-5.2,Concentrado Crianza,manual_raw_starving_audit,T. SURALIM INICIAL RF X 25 KG,T. SURALIM INICIAL RF X 25 KG,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,,SURALIM inicial/crecimiento explicitly identifies calf starter/grower concentrate.,,COMPRAS,raw_xml_source,9311
MA-09451,EXP-15.4,Arriendo Maquinaria y Vehiculos,manual_raw_starving_audit,Arriendo excavadora,,GATICA MARTÍNEZ SPA,,Item explicitly says excavator rental.,,COMPRAS,raw_xml_source,9451
MA-09572,EXP-4.1,Parva Silo,manual_raw_starving_audit,SILO PARVA,FUNDO YUTRECO,AGRO SERVICIOS NAVARRETE SPA,,Item explicitly says SILO PARVA and identifies the farm.,,COMPRAS,raw_xml_source,9572
MA-09573,EXP-4.1,Parva Silo,manual_raw_starving_audit,SILO PARVA,EL MAITEN,AGRO SERVICIOS NAVARRETE SPA,,Item explicitly says SILO PARVA and identifies the farm.,,COMPRAS,raw_xml_source,9573
MA-09606,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo Diciembre 25,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,9606
MA-09635,EXP-10.2,Diping,manual_raw_starving_audit,FULLDIP 5000 PROMOCION 230 KG,,HGS DAIRY SOLUTIONS SPA,,COW GUARD/FULLDIP explicitly identify teat-dip products; descriptions/providers create new valid inputs.,,COMPRAS,raw_xml_source,9635
MA-09944,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura diciembre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,9944
MA-10118,EXP-4.1,Parva Silo,manual_raw_starving_audit,ADITIVO SILOSOLVE MC -ANASAC_100grs_____,ANASAC_100grs_____,FEROSOR AGRICOLA S.A.,,"SILOSOLVE is explicitly a silage additive, consistent with the client category definition.",,COMPRAS,raw_xml_source,10118
MA-10594,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo Enero 26,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,10594
MA-10894,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura enero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,10894
MA-11200,ADM-1.4,Movilizacion,manual_raw_starving_audit,DETALLE,GASOLINA NU 1203| 20.000|L,COPEC S.A.,,Description explicitly identifies gasoline and litres; client examples place administration gasoline in mobilization.,,COMPRAS,raw_xml_source,11200
MA-11312,ADM-1.3,Arriendo Oficina,manual_raw_starving_audit,Arriendo febrero 26,,ADDVISE SPA,,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,,COMPRAS,raw_xml_source,11312
MA-11511,ADM-2.2,Seguros Trabajadores,manual_raw_starving_audit,Periodo de Cobertura febrero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,,COMPRAS,raw_xml_source,11511
MA-11676,EXP-6.1,Fosforo,manual_raw_starving_audit,TREFOS PLUS MAXI PF YARA (SF3)-FERTILIZANTES(B)-ME,,COMPAÑÍA AGROPECUARIA COPEVAL S.A.,,"Trefos, monoammonium phosphate and triple superphosphate are explicitly named phosphorus fertilizers.",,COMPRAS,raw_xml_source,11676
MA-11840,ADM-1.4,Movilizacion,manual_raw_starving_audit,DETALLE,GASOLINA NU 1203| 20.100|L,COPEC S.A.,,Description explicitly identifies gasoline and litres; client examples place administration gasoline in mobilization.,,COMPRAS,raw_xml_source,11840
