audit_id,category_code,leaf,raw_row_id,source,period,source_file,folio,nro_lin_det,item_text,description,provider,candidate_basis,verdict,audit_reason,promoted_gold_id
WA-039,EXP-15.2,Servicios Veterinarios,2966,COMPRAS,2025-05,DTE_033_000000000007_781131369.xml,7,2,PODOLOGÍA CLINICA BOVINA,Servicio realizado 25 abril 2025 por Roberto Molina,MOLINA MANNS SPA,explicit_bovine_podology_service,promote,Distinct clinical/corrective bovine podology service descriptions from a veterinary-service provider.,MA-02966
WA-040,EXP-15.2,Servicios Veterinarios,2967,COMPRAS,2025-05,DTE_033_000000000007_781131369.xml,7,3,VIATICO MOVILIZACION,100km por visita,MOLINA MANNS SPA,same_invoice_ancillary_charge,needs_client,Travel allowance is on a veterinary invoice but could be veterinary service or administration mobilization.,
WA-041,EXP-15.2,Servicios Veterinarios,2968,COMPRAS,2025-05,DTE_033_000000000010_781131369.xml,10,1,PODOLOGIA CORRECTIVA,8 MAYO: 16 VACAS 9 MAYO: 17 VACAS 15 MAYO: 23 VACAS 21 MAYO: 30 VACAS *SERVICIOS REALIZADOS POR ROBERTO MOLINA,MOLINA MANNS SPA,explicit_bovine_podology_service,promote,Distinct clinical/corrective bovine podology service descriptions from a veterinary-service provider.,MA-02968
WA-042,EXP-15.2,Servicios Veterinarios,2969,COMPRAS,2025-05,DTE_033_000000000010_781131369.xml,10,2,VIATICO MOVILIZACION,100 KILOMETROS POR VISITA,MOLINA MANNS SPA,same_invoice_ancillary_charge,needs_client,Travel allowance is on a veterinary invoice but could be veterinary service or administration mobilization.,
WA-043,EXP-6.3,Cal,2999,COMPRAS,2025-05,DTE_033_000000000358_770531012.xml,358,3,RIEGO CAL PRADERAS 30 TON,APLICACION MAS CARGUIO,SERVICIOS AGRICOLAS CORPAL SPA,explicit_agricultural_lime,promote,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,MA-02999
WA-044,ADM-1.2,Comunicaciones e Internet,3040,COMPRAS,2025-05,DTE_033_000000003550_766721397.xml,3550,1,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE JUNIO DE 2025",NETSKY SPA,explicit_internet_service,promote,Item explicitly says internet service and includes the recurring billing month.,MA-03040
WA-045,ADM-1.3,Arriendo Oficina,3043,COMPRAS,2025-05,DTE_033_000000004302_764503287.xml,4302,1,Arriendo mayo 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-03043
WA-046,ADM-1.8,Asesoria Contable,3077,COMPRAS,2025-05,DTE_033_000000024351_762585154.xml,24351,1,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Mayo de 2025,AUDISOFT SPA,audisoft_accounting_system,promote,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,MA-03077
WA-047,ADM-1.8,Asesoria Contable,3078,COMPRAS,2025-05,DTE_033_000000024351_762585154.xml,24351,2,LICENCIA AUDISOFT,Audisoft Basico Periodo Mayo de 2025,AUDISOFT SPA,audisoft_accounting_system,promote,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,MA-03078
WA-048,EXP-15.2,Servicios Veterinarios,3105,COMPRAS,2025-05,DTE_033_000000034430_887346003.xml,34430,1,AUTO POLF GRANDE P-B,,SERVIGEN LTDA,provider_giro_keyword_false_positive,reject,"Physical product/medicine from a veterinary provider, not veterinary consultancy.",
WA-049,ADM-2.2,Seguros Trabajadores,3321,COMPRAS,2025-05,DTE_033_000000643067_990120005.xml,643067,2,Periodo de Cobertura mayo 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-03321
WA-050,EXP-6.3,Cal,3409,COMPRAS,2025-04,DTE_033_000001395009_967728101.xml,1395009,1,CAL SUR IANSA ENV. MAXISACO 1000 KG,,IANSAGRO S.A.,explicit_agricultural_lime,promote,Item/description explicitly identifies agricultural lime product or lime application on pasture/fund.,MA-03409
WA-051,ADM-1.5,Colacion y Alojamiento,3899,COMPRAS,2025-06,DTE_033_000000000321_98124942.xml,321,1,ALMUERZOS,COMPROBANTE DEBITO N° 012728,MINERVA RUTH ARELLANO VASQUEZ,explicit_meal,promote,Item explicitly identifies an administration meal.,MA-03899
WA-052,ADM-1.2,Comunicaciones e Internet,3937,COMPRAS,2025-06,DTE_033_000000003599_766721397.xml,3599,1,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE JULIO DE 2025",NETSKY SPA,explicit_internet_service,promote,Item explicitly says internet service and includes the recurring billing month.,MA-03937
WA-053,ADM-1.3,Arriendo Oficina,3939,COMPRAS,2025-06,DTE_033_000000004412_764503287.xml,4412,1,Arriendo junio 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-03939
WA-054,ADM-1.8,Asesoria Contable,3952,COMPRAS,2025-06,DTE_033_000000024515_762585154.xml,24515,1,FACTURACION ELECTRONICA,GestionDTE Facturas Periodo Junio de 2025,AUDISOFT SPA,audisoft_accounting_system,promote,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,MA-03952
WA-055,ADM-1.8,Asesoria Contable,3953,COMPRAS,2025-06,DTE_033_000000024515_762585154.xml,24515,2,LICENCIA AUDISOFT,Audisoft Basico Periodo Junio de 2025,AUDISOFT SPA,audisoft_accounting_system,promote,AUDISOFT electronic invoicing/accounting-system service matches the client taxonomy's named provider family.,MA-03953
WA-056,EXP-6.3,Cal,3984,COMPRAS,2025-06,DTE_033_000000077655_761459791.xml,77655,1,CAL PINTACAL 25KG SOPROCAL,,SOCIEDAD COMERCIAL TUCHIE JADURI LIMITAD,hardware_lime_or_paint,reject,"PintaCal from hardware retailers is building/paint material, not a farm soil amendment.",
WA-057,EXP-6.3,Cal,4086,COMPRAS,2025-06,DTE_033_000000256428_804616004.xml,256428,1,CAL PINTA CAL 25 KGS.,,FERRETERIA HESS Y BUSCHMANN SPA,hardware_lime_or_paint,reject,"PintaCal from hardware retailers is building/paint material, not a farm soil amendment.",
WA-058,ADM-2.2,Seguros Trabajadores,4162,COMPRAS,2025-06,DTE_033_000000647680_990120005.xml,647680,2,Periodo de Cobertura junio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-04162
WA-059,EXP-5.5,Sustituto Lacteo,4282,COMPRAS,2025-06,DTE_033_000004983058_823926006.xml,4983058,1,SUST. KALMILAC PLUS 25 KGS SCHILS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,client_confirmed_milk_replacer,already_gold,Exact raw input is already represented in gold.,
WA-060,ADM-1.2,Comunicaciones e Internet,4615,COMPRAS,2025-07,DTE_033_000000003651_766721397.xml,3651,1,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE AGOSTO DE 2025",NETSKY SPA,explicit_internet_service,promote,Item explicitly says internet service and includes the recurring billing month.,MA-04615
WA-061,ADM-1.3,Arriendo Oficina,4618,COMPRAS,2025-07,DTE_033_000000004490_764503287.xml,4490,1,Arriendo julio 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-04618
WA-062,EXP-15.2,Servicios Veterinarios,5025,COMPRAS,2025-07,DTE_033_000000287026_760681407.xml,287026,1,DILUYENTE SINTETICO 1 LT.,,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-063,EXP-15.2,Servicios Veterinarios,5026,COMPRAS,2025-07,DTE_033_000000287026_760681407.xml,287026,2,"BROCHA 3"" CERDA GRIS ECONOMICA",,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-064,EXP-15.2,Servicios Veterinarios,5027,COMPRAS,2025-07,DTE_033_000000287026_760681407.xml,287026,3,CLAVO DE 4 OFERTA,,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-065,EXP-15.2,Servicios Veterinarios,5028,COMPRAS,2025-07,DTE_033_000000287026_760681407.xml,287026,4,ANTICORROSIVO ESTRUCT.1GL NEGRO,,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-066,EXP-15.2,Servicios Veterinarios,5029,COMPRAS,2025-07,DTE_033_000000287026_760681407.xml,287026,5,"PERNOS HEX. PU G-2 NC 1/2 X 2""",,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-067,EXP-15.2,Servicios Veterinarios,5030,COMPRAS,2025-07,DTE_033_000000287026_760681407.xml,287026,6,TUERCA HEX. PU G-2 NC 1/2,,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-068,EXP-15.2,Servicios Veterinarios,5031,COMPRAS,2025-07,DTE_033_000000287026_760681407.xml,287026,7,"GOLILLA PLAN.CORRI. 1/2"" (69X1K)",,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-069,EXP-15.2,Servicios Veterinarios,5032,COMPRAS,2025-07,DTE_033_000000287026_760681407.xml,287026,8,"AMARRA PLASTICA 7,5 X 500 MM",,FERIA REMEHUE LTDA.,provider_giro_keyword_false_positive,reject,Hardware matched only because the seller's broad giro mentions veterinary sales.,
WA-070,ADM-2.2,Seguros Trabajadores,5131,COMPRAS,2025-07,DTE_033_000000652425_990120005.xml,652425,2,Periodo de Cobertura julio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,same_invoice_collective_policy_12799,promote,Coverage-period line shares an invoice with client-confirmed collective worker policy 12799.,MA-05131
WA-071,ADM-1.2,Comunicaciones e Internet,5275,COMPRAS,2025-07,DTE_033_000002927851_871611009.xml,2927851,2,Programación Premiums,,DIRECTV Chile TelevisiÃ³n Limitada,explicit_television_service,promote,DIRECTV programming/decoder charges explicitly identify a communications service.,MA-05275
WA-072,EXP-5.5,Sustituto Lacteo,5297,COMPRAS,2025-07,DTE_033_000005002681_823926006.xml,5002681,1,SUST. EUROLAC BLUE 25 KGS. SCHILS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,client_confirmed_milk_replacer,promote,EUROLAC is a client-confirmed milk replacer; raw provider form is a new valid input.,MA-05297
WA-073,EXP-15.2,Servicios Veterinarios,5311,COMPRAS,2025-07,DTE_033_000005016383_823926006.xml,5016383,2,BUZO VETERINARIO 1 PIEZA TALLA 50,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,item_keyword_false_positive,reject,"Veterinary coveralls are work clothing, not veterinary consultancy.",
WA-074,EXP-15.2,Servicios Veterinarios,5312,COMPRAS,2025-07,DTE_033_000005016383_823926006.xml,5016383,3,BUZO VETERINARIO 1 PIEZA TALLA 54,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,item_keyword_false_positive,reject,"Veterinary coveralls are work clothing, not veterinary consultancy.",
WA-075,EXP-15.2,Servicios Veterinarios,5329,COMPRAS,2025-07,DTE_033_000005022535_823926006.xml,5022535,1,BUZO VETERINARIO 1 PIEZA TALLA 52,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,item_keyword_false_positive,reject,"Veterinary coveralls are work clothing, not veterinary consultancy.",
WA-076,EXP-10.2,Diping,5443,COMPRAS,2025-07,DTE_033_000028910393_810941006.xml,28910393,2,APLICADOR DIPPING S/RETORNO,APLICADOR DIPPING S/RETORNO,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keyword_candidate,reject,"Dipping applicators are equipment, not teat-dip chemical; likely dairy-shed expense, not EXP-10.2.",
WA-077,EXP-10.2,Diping,5544,COMPRAS,2025-07,DTE_033_000028954852_810941006.xml,28954852,6,APLICADOR DIPPING HORIZONTAL,APLICADOR DIPPING HORIZONTAL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,keyword_candidate,reject,"Dipping applicators are equipment, not teat-dip chemical; likely dairy-shed expense, not EXP-10.2.",
WA-078,ADM-1.2,Comunicaciones e Internet,5869,COMPRAS,2025-08,DTE_033_000000003697_766721397.xml,3697,1,Servicios de internet,"Rural Titán 15Mbps/10Mbps, MES DE SEPTIEMBRE DE 2025",NETSKY SPA,explicit_internet_service,promote,Item explicitly says internet service and includes the recurring billing month.,MA-05869
WA-079,ADM-1.3,Arriendo Oficina,5873,COMPRAS,2025-08,DTE_033_000000004655_764503287.xml,4655,1,Arriendo agosto 25,,ADDVISE SPA,provider_and_recurring_invoice_sequence,promote,ADDVISE office-rent provider is client-confirmed; item explicitly says Arriendo plus month.,MA-05873
WA-080,EXP-15.2,Servicios Veterinarios,5880,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,1,Mg Ca Pi 86513 86623,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-081,EXP-15.2,Servicios Veterinarios,5881,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,2,AST GGT GLDH 86630,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-082,EXP-15.2,Servicios Veterinarios,5882,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,3,Mg Ca Pi 86630,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-083,EXP-15.2,Servicios Veterinarios,5883,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,4,NEFAs (PM) 86632,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-084,EXP-15.2,Servicios Veterinarios,5884,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,5,Na CL K 86632,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-085,EXP-15.2,Servicios Veterinarios,5885,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,6,HEMOGRAMA 86683,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-086,EXP-15.2,Servicios Veterinarios,5886,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,7,BHB 86684,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-087,EXP-15.2,Servicios Veterinarios,5887,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,8,C CET 86684,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
WA-088,EXP-15.2,Servicios Veterinarios,5888,COMPRAS,2025-08,DTE_033_000000010479_776282901.xml,10479,9,NEFAs 86684,,LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,provider_giro_keyword_false_positive,reject,"Laboratory tests belong to animal analysis, not veterinary consultancy.",
