row_id,item_text,provider,prediction,top1,reason
510,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.944068,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
511,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.948095,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
513,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.948095,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
514,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.947443,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
515,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.947443,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
517,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.949955,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
949,Gasolina 93 octanos sin plomo,PILAUCO VIEJO SPA,EXP-11.4,0.941699,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
1062,Periodo de Cobertura febrero 2025,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,ADM-2.2,0.960286,insurance cover period; the type of cover is not stated
1188,Renta de Arrendamiento Nº1 del contrato Nº34379-1,BANCO BICE,ADM-1.7,0.822721,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1190,Comisión por Transferencia Electrónica d,BANCO BICE,ADM-1.8,0.76221,bank transfer fee filed as accounting advisory
1194,Renta de Arrendamiento Nº1 del contrato Nº34431-0,BANCO BICE,ADM-1.7,0.825298,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1195,Renta de Arrendamiento Nº11 del contrato Nº32326-1,BANCO BICE,ADM-1.7,0.832377,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1198,Renta de Arrendamiento Nº2 del contrato Nº34350-1,BANCO BICE,ADM-1.7,0.82137,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1199,Renta de Arrendamiento Nº28 del contrato Nº23221-2,BANCO BICE,ADM-1.7,0.844406,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1200,Renta de Arrendamiento Nº2 del contrato Nº34359-1,BANCO BICE,ADM-1.7,0.829904,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1201,Renta de Arrendamiento Nº33 del contrato Nº22338-1,BANCO BICE,ADM-1.7,0.8353,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1241,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.949976,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
1242,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.955448,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
1243,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.951936,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
1244,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.951936,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
1377,GASOLINA 95,COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,EXP-11.4,0.811264,same Bencina-vs-Movilizacion client convention as the other petrol rows
1469,dias,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,EXP-14.2,0.759887,bare unit of labour; the category came from the provider rather than the item
1568,Gasolina 93 octanos sin plomo,INVERSIONES Y ASESORIA BARCA SPA 3103944,EXP-11.4,0.941457,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
1702,Periodo de Cobertura marzo 2025,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,ADM-2.2,0.961275,insurance cover period; the type of cover is not stated
1718,Residencial,STARLINK CHILE SPA,ADM-1.2,0.817375,generic line naming nothing
1813,Renta de Arrendamiento Nº69 del contrato Nº16380-1,BANCO BICE,ADM-1.7,0.834614,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1814,Renta de Arrendamiento Nº2 del contrato Nº34379-1,BANCO BICE,ADM-1.7,0.826092,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1815,Renta de Arrendamiento Nº9 del contrato Nº32799-1,BANCO BICE,ADM-1.7,0.836138,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1818,Comisión por Transferencia Electrónica d,BANCO BICE,ADM-1.8,0.76221,bank transfer fee filed as accounting advisory
1819,Renta de Arrendamiento Nº2 del contrato Nº34431-0,BANCO BICE,ADM-1.7,0.826308,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1820,Renta de Arrendamiento Nº12 del contrato Nº32326-1,BANCO BICE,ADM-1.7,0.840324,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1823,Renta de Arrendamiento Nº1 del contrato Nº34589-1,BANCO BICE,ADM-1.7,0.824842,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1824,Renta de Arrendamiento Nº1 del contrato Nº34590-1,BANCO BICE,ADM-1.7,0.82448,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1827,Renta de Arrendamiento Nº3 del contrato Nº34350-1,BANCO BICE,ADM-1.7,0.824222,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1828,Renta de Arrendamiento Nº34 del contrato Nº22338-1,BANCO BICE,ADM-1.7,0.834895,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1829,Renta de Arrendamiento Nº3 del contrato Nº34359-1,BANCO BICE,ADM-1.7,0.833391,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
1845,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.948007,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
1936,GASOLINA 95,COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,EXP-11.4,0.811264,same Bencina-vs-Movilizacion client convention as the other petrol rows
2097,dias,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,EXP-14.2,0.759887,bare unit of labour; the category came from the provider rather than the item
2123,SEGUN OT 270,MULTIMOTOS OSORNO SPA,EXP-13.2,0.870023,work-order reference; names no product or service
2124,SEGUN OT 269,MULTIMOTOS OSORNO SPA,EXP-13.2,0.867039,work-order reference; names no product or service
2125,SEGUN OT 268,MULTIMOTOS OSORNO SPA,EXP-13.2,0.892812,work-order reference; names no product or service
2187,Gasolina 93 octanos sin plomo,COMER DE COMBUSTIBLES M&D LTD,EXP-11.4,0.936375,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
2195,Gasolina 93 octanos sin plomo,DISTRIBUIDORA ENTRETECHO SPA,EXP-11.4,0.939632,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
2383,Periodo de Cobertura abril 2025,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,ADM-2.2,0.957966,insurance cover period; the type of cover is not stated
2522,Renta de Arrendamiento Nº70 del contrato Nº16380-1,BANCO BICE,ADM-1.7,0.834314,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2523,Renta de Arrendamiento Nº3 del contrato Nº34379-1,BANCO BICE,ADM-1.7,0.829373,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2526,Renta de Arrendamiento Nº10 del contrato Nº32799-1,BANCO BICE,ADM-1.7,0.837279,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2527,Renta de Arrendamiento Nº3 del contrato Nº34431-1,BANCO BICE,ADM-1.7,0.834086,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2528,Renta de Arrendamiento Nº13 del contrato Nº32326-1,BANCO BICE,ADM-1.7,0.841883,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2529,Renta de Arrendamiento Nº2 del contrato Nº34589-1,BANCO BICE,ADM-1.7,0.828553,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2530,Renta de Arrendamiento Nº2 del contrato Nº34590-1,BANCO BICE,ADM-1.7,0.82838,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2531,Renta de Arrendamiento Nº4 del contrato Nº34350-1,BANCO BICE,ADM-1.7,0.832715,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2532,Renta de Arrendamiento Nº35 del contrato Nº22338-1,BANCO BICE,ADM-1.7,0.834933,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2533,Renta de Arrendamiento Nº4 del contrato Nº34359-1,BANCO BICE,ADM-1.7,0.839182,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2534,Renta de Arrendamiento Nº71 del contrato Nº16380-1,BANCO BICE,ADM-1.7,0.83205,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
2547,Disco SSD KNG 500GB M.2 2280 MVMe PCIe,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-13.3,0.856382,computer storage filed as vehicle maintenance
2567,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.947777,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
2568,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.959058,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
2569,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.947469,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
2570,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.947469,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
2617,Subsidio cuota deuda pandemia 38 / 48,Sociedad Austral de Electricidad SA,EXP-9.1,0.928636,electricity account instalment; which meter it belongs to is not in the text
2618,Cuota deuda pandemia (38/48),Sociedad Austral de Electricidad SA,EXP-9.1,0.966147,electricity account instalment; which meter it belongs to is not in the text
2656,DETALLE,COPEC S.A.,ADM-1.4,0.773743,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
2659,DETALLE,COPEC S.A.,ADM-1.4,0.770864,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
2662,DETALLE,COPEC S.A.,ADM-1.4,0.766222,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
2675,GASOLINA 95,COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,EXP-11.4,0.811264,same Bencina-vs-Movilizacion client convention as the other petrol rows
3014,Compra materiales,INDUSTRIAL RIEGO SPA,EXP-9.2,0.852529,generic line naming nothing
3023,SEGUN OT 338,MULTIMOTOS OSORNO SPA,EXP-13.2,0.911928,work-order reference; names no product or service
3109,Gasolina 93 octanos sin plomo,INVERSIONES Y ASESORIA BARCA SPA 3103944,EXP-11.4,0.945454,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
3110,Gasolina 93 octanos sin plomo,INVERSIONES Y ASESORIA BARCA SPA 3103944,EXP-11.4,0.945454,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
3114,Gasolina 93 octanos sin plomo,DISTRIBUIDORA ENTRETECHO SPA,EXP-11.4,0.943036,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
3203,Gasolina 93 octanos sin plomo,PILAUCO VIEJO SPA,EXP-11.4,0.943809,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
3204,Gasolina 93 octanos sin plomo,COMERCIAL SUR ENERGY SPA,EXP-11.4,0.947766,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
3321,Periodo de Cobertura mayo 2025,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,ADM-2.2,0.959128,insurance cover period; the type of cover is not stated
3417,Renta de Arrendamiento Nº4 del contrato Nº34379-1,BANCO BICE,ADM-1.7,0.836236,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3419,Renta de Arrendamiento Nº11 del contrato Nº32799-1,BANCO BICE,ADM-1.7,0.830804,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3420,Renta de Arrendamiento Nº4 del contrato Nº34431-1,BANCO BICE,ADM-1.7,0.839532,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3422,Comisión por Transferencia Electrónica d,BANCO BICE,ADM-1.8,0.76221,bank transfer fee filed as accounting advisory
3423,Renta de Arrendamiento Nº14 del contrato Nº32326-1,BANCO BICE,ADM-1.7,0.841218,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3424,Renta de Arrendamiento Nº3 del contrato Nº34589-1,BANCO BICE,ADM-1.7,0.831853,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3425,Renta de Arrendamiento Nº3 del contrato Nº34590-1,BANCO BICE,ADM-1.7,0.831821,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3426,Renta de Arrendamiento Nº5 del contrato Nº34350-1,BANCO BICE,ADM-1.7,0.837033,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3427,Renta de Arrendamiento Nº5 del contrato Nº34359-1,BANCO BICE,ADM-1.7,0.843601,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3428,Renta de Arrendamiento Nº1 del contrato Nº34853-0,BANCO BICE,ADM-1.7,0.833822,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3429,Renta de Arrendamiento Nº36 del contrato Nº22338-1,BANCO BICE,ADM-1.7,0.833169,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3430,Renta de Arrendamiento Nº72 del contrato Nº16380-1,BANCO BICE,ADM-1.7,0.836116,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
3458,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.952334,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
3469,Subsidio cuota deuda pandemia 39 / 48,Sociedad Austral de Electricidad SA,EXP-9.1,0.93142,electricity account instalment; which meter it belongs to is not in the text
3470,Cuota deuda pandemia (39/48),Sociedad Austral de Electricidad SA,EXP-9.1,0.966836,electricity account instalment; which meter it belongs to is not in the text
3482,DETALLE,COPEC S.A.,ADM-1.4,0.765103,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
3485,DETALLE,COPEC S.A.,ADM-1.4,0.760996,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
3488,DETALLE,COPEC S.A.,ADM-1.4,0.765243,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
3491,DETALLE,COPEC S.A.,ADM-1.4,0.778131,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
3494,DETALLE,COPEC S.A.,ADM-1.4,0.767786,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
3497,GASOLINA 95,COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,EXP-11.4,0.811264,same Bencina-vs-Movilizacion client convention as the other petrol rows
3533,GASOLINA 95,COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,EXP-11.4,0.811264,same Bencina-vs-Movilizacion client convention as the other petrol rows
3874,TRASLADO VACAS VACIAS,LUIS ANTONIO TORRES JARAMILLO,EXP-2.3,0.824926,livestock transport filed as vaccines
3916,SEGUN OT 364,MULTIMOTOS OSORNO SPA,EXP-13.2,0.873303,work-order reference; names no product or service
3917,SEGUN OT 350,MULTIMOTOS OSORNO SPA,EXP-13.2,0.885596,work-order reference; names no product or service
3920,SEGUN OT 394,MULTIMOTOS OSORNO SPA,EXP-13.2,0.866618,work-order reference; names no product or service
3986,Gasolina 93 octanos sin plomo,DISTRIBUIDORA ENTRETECHO SPA,EXP-11.4,0.942487,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
4087,Gasolina 93 octanos sin plomo,PILAUCO VIEJO SPA,EXP-11.4,0.94537,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
4162,Periodo de Cobertura junio 2025,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,ADM-2.2,0.959104,insurance cover period; the type of cover is not stated
4261,Renta de Arrendamiento Nº5 del contrato Nº34379-1,BANCO BICE,ADM-1.7,0.840912,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4263,Renta de Arrendamiento Nº12 del contrato Nº32799-1,BANCO BICE,ADM-1.7,0.839106,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4265,Renta de Arrendamiento Nº5 del contrato Nº34431-1,BANCO BICE,ADM-1.7,0.844381,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4266,Renta de Arrendamiento Nº15 del contrato Nº32326-1,BANCO BICE,ADM-1.7,0.842551,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4267,Renta de Arrendamiento Nº6 del contrato Nº34350-1,BANCO BICE,ADM-1.7,0.833342,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4268,Renta de Arrendamiento Nº4 del contrato Nº34589-1,BANCO BICE,ADM-1.7,0.835941,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4269,Renta de Arrendamiento Nº4 del contrato Nº34590-1,BANCO BICE,ADM-1.7,0.836682,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4272,Renta de Arrendamiento Nº6 del contrato Nº34359-1,BANCO BICE,ADM-1.7,0.840069,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4275,Renta de Arrendamiento Nº37 del contrato Nº22338-1,BANCO BICE,ADM-1.7,0.834773,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4276,Renta de Arrendamiento Nº2 del contrato Nº34853-1,BANCO BICE,ADM-1.7,0.829081,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
4291,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.952036,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
4292,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.952151,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
4314,DETALLE,COPEC S.A.,ADM-1.4,0.783561,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
4317,DETALLE,COPEC S.A.,ADM-1.4,0.758725,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
4320,DETALLE,COPEC S.A.,ADM-1.4,0.776778,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
4323,DETALLE,COPEC S.A.,ADM-1.4,0.774762,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
4511,TRASL.VACAS PREÑADAS,LUIS ANTONIO TORRES JARAMILLO,EXP-2.3,0.881998,livestock transport filed as vaccines
4512,TRASL.VACAS PREÑADAS,LUIS ANTONIO TORRES JARAMILLO,EXP-2.3,0.881998,livestock transport filed as vaccines
4593,SEGUN OT 381,MULTIMOTOS OSORNO SPA,EXP-13.2,0.869314,work-order reference; names no product or service
4594,SEGUN OT 382,MULTIMOTOS OSORNO SPA,EXP-13.2,0.879372,work-order reference; names no product or service
4595,SEGUN OT 401,MULTIMOTOS OSORNO SPA,EXP-13.2,0.889225,work-order reference; names no product or service
4596,SEGUN OT 402,MULTIMOTOS OSORNO SPA,EXP-13.2,0.894027,work-order reference; names no product or service
4597,SEGUN OT 400,MULTIMOTOS OSORNO SPA,EXP-13.2,0.822632,work-order reference; names no product or service
4598,SEGUN OT 441,MULTIMOTOS OSORNO SPA,EXP-13.2,0.841114,work-order reference; names no product or service
4599,SEGUN OT 383,MULTIMOTOS OSORNO SPA,EXP-13.2,0.853922,work-order reference; names no product or service
4606,SERVICIOS,GEO PARTNER SPA,EXP-15.3,0.75288,generic word carrying no information about what was bought
5024,Gasolina 93 octanos sin plomo,PILAUCO VIEJO SPA,EXP-11.4,0.942155,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
5121,CLORINDA X 4 LT,COMERCIAL AMAR HNOS. Y CIA. LTDA,EXP-7.0,0.826181,household bleach; the client files Clorinda under ADM-1.6 office and cleaning supplies
5131,Periodo de Cobertura julio 2025,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,ADM-2.2,0.95561,insurance cover period; the type of cover is not stated
5278,Renta de Arrendamiento Nº6 del contrato Nº34379-1,BANCO BICE,ADM-1.7,0.836836,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5281,Renta de Arrendamiento Nº13 del contrato Nº32799-1,BANCO BICE,ADM-1.7,0.840471,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5282,Renta de Arrendamiento Nº6 del contrato Nº34431-1,BANCO BICE,ADM-1.7,0.840667,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5283,Renta de Arrendamiento Nº16 del contrato Nº32326-1,BANCO BICE,ADM-1.7,0.840605,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5284,Renta de Arrendamiento Nº5 del contrato Nº34589-1,BANCO BICE,ADM-1.7,0.840645,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5285,Renta de Arrendamiento Nº5 del contrato Nº34590-1,BANCO BICE,ADM-1.7,0.841009,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5287,Renta de Arrendamiento Nº7 del contrato Nº34350-1,BANCO BICE,ADM-1.7,0.841738,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5288,Renta de Arrendamiento Nº3 del contrato Nº34853-1,BANCO BICE,ADM-1.7,0.833128,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5289,Renta de Arrendamiento Nº38 del contrato Nº22338-1,BANCO BICE,ADM-1.7,0.831,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5290,Renta de Arrendamiento Nº7 del contrato Nº34359-1,BANCO BICE,ADM-1.7,0.847109,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
5330,Gasolina 93 octanos sin plomo,INVERSIONES ENEX S.A.,EXP-11.4,0.950641,fuel usage split (Bencina vs Movilizacion) is a client bookkeeping convention; only silver backs these providers
5354,DETALLE,COPEC S.A.,ADM-1.4,0.776782,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
5357,DETALLE,COPEC S.A.,ADM-1.4,0.768843,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
5360,DETALLE,COPEC S.A.,ADM-1.4,0.782281,"COPEC fuel line; same Bencina-vs-Movilizacion client convention as the other petrol rows, and no client proof for this retailer"
5769,TRASL.VACAS PREÑADAS,LUIS ANTONIO TORRES JARAMILLO,EXP-2.3,0.881998,livestock transport filed as vaccines
5801,dias trabajados,CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,EXP-14.2,0.793234,bare unit of labour; the category came from the provider rather than the item
5844,SEGUN OT 470,MULTIMOTOS OSORNO SPA,EXP-13.2,0.909534,work-order reference; names no product or service
5845,SEGUN OT 471,MULTIMOTOS OSORNO SPA,EXP-13.2,0.894603,work-order reference; names no product or service
5848,SEGUN OT 468,MULTIMOTOS OSORNO SPA,EXP-13.2,0.885168,work-order reference; names no product or service
5849,SEGUN OT 469,MULTIMOTOS OSORNO SPA,EXP-13.2,0.869489,work-order reference; names no product or service
5854,SERVICIOS,GEO PARTNER SPA,EXP-15.3,0.796445,generic word carrying no information about what was bought
5890,Eurodiesel plus 15W40 CK4 19 lts,SOCIEDAD TOROYO LTDA,EXP-11.3,0.837871,"15W40 is engine oil, not diesel fuel"
6127,Periodo de Cobertura agosto 2025,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,ADM-2.2,0.954386,insurance cover period; the type of cover is not stated
6239,Renta de Arrendamiento Nº7 del contrato Nº34379-1,BANCO BICE,ADM-1.7,0.844154,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
6241,Renta de Arrendamiento Nº14 del contrato Nº32799-1,BANCO BICE,ADM-1.7,0.840143,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
6242,Renta de Arrendamiento Nº7 del contrato Nº34431-1,BANCO BICE,ADM-1.7,0.847812,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
6243,Renta de Arrendamiento Nº17 del contrato Nº32326-1,BANCO BICE,ADM-1.7,0.844891,finance lease from a bank; the taxonomy has no leasing category and the correct home depends on what is leased
